date,hike_votes,hold_votes,cut_votes
2003-07-10,0,9,0
2003-11-06,0,0,9
2005-08-04,0,0,9
2006-08-03,9,0,0
2007-07-05,9,0,0
2007-12-06,0,0,9
2008-02-07,0,0,9
2008-04-10,0,0,9
2008-10-08,0,0,9
2008-11-06,0,0,9
2008-12-04,0,0,9
2009-01-08,0,0,9
2009-02-05,0,0,9
2009-03-05,0,0,9
2009-06-04,0,9,0
2010-01-07,0,9,0
2011-01-13,3,6,0
2011-06-09,2,7,0
2012-07-05,0,9,0
2016-08-04,0,0,9
2017-11-02,7,2,0
2018-08-02,9,0,0
2019-06-20,0,9,0
2020-03-11,0,0,9
2020-03-19,0,0,9
2021-12-16,8,0,1
2022-02-03,5,4,0
2022-03-17,8,0,1
2022-05-05,6,3,0
2022-06-16,6,3,0
2022-08-04,8,0,1
2022-09-22,5,4,0
2022-11-03,7,0,2
2022-12-15,6,1,2
2023-02-02,7,0,2
2023-03-23,7,0,2
2023-05-11,7,0,2
2023-06-22,7,0,2
2023-08-03,6,0,3
2023-09-21,5,4,0
2023-11-02,6,3,0
2023-12-14,6,3,0
2024-02-01,6,2,1
2024-03-21,8,1,0
2024-05-09,7,2,0
2024-06-20,7,2,0
2024-08-01,5,4,0
2024-09-19,8,0,1
2024-11-07,8,0,1
2024-12-19,6,3,0
2025-02-06,7,0,2
2025-03-20,0,8,1
2025-05-08,0,2,7
2025-06-19,0,6,3
2025-08-06,0,4,5
2025-09-17,0,7,2
2025-11-05,0,5,4
2025-12-17,0,4,5
2026-02-04,0,5,4
2026-03-18,0,9,0
